PV;CV
11.7;0
11.7;0
11.9;0
11.9;0
11.9;0
11.9;0
11.9;0
11.9;0
11.9;0
11.9;0
11.9;0
11.9;0
11.15;0
11.15;0
11.15;0
11.15;0
11.15;0
11.15;0
11.15;0
11.15;0
11.15;0
11.15;0
11.44;0
11.44;0
11.44;0
11.44;0
11.44;0
11.44;0
11.44;0
11.44;0
11.44;0
11.44;0
11.22;0
11.22;0
11.22;0
11.22;0
11.22;0
11.22;0
11.22;0
11.22;0
11.22;0
11.22;0
11.65;0
11.65;0
11.65;0
11.65;0
11.65;0
11.65;0
11.65;0
11.65;0
11.65;0
11.65;0
11.45;0
11.45;0
11.45;0
11.45;0
11.45;0
11.45;10
11.45;10
11.45;10
11.45;10
11.45;10
11.43;10
11.43;10
11.43;10
11.43;10
11.43;10
11.43;10
11.43;10
11.43;10
11.43;10
11.43;10
11.48;10
11.48;10
11.48;10
11.48;10
11.48;10
11.48;10
11.48;10
11.48;10
11.48;10
11.48;10
11.25;10
11.25;10
11.25;10
11.25;10
11.25;10
11.25;10
11.25;10
11.25;10
11.25;10
11.25;10
11.79;10
11.79;10
11.79;10
11.79;10
11.79;10
11.79;10
11.79;10
11.79;10
11.79;10
11.79;10
11.47;10
11.47;10
11.47;10
11.47;10
11.47;10
11.5;10
11.56;10
11.61;10
11.67;10
11.73;10
12.17;10
12.23;10
12.28;10
12.34;10
12.4;10
12.45;10
12.51;10
12.56;10
12.62;10
12.67;10
12.4;10
12.45;10
12.51;10
12.56;10
12.61;10
12.67;10
12.72;10
12.78;10
12.83;10
12.88;10
12.62;10
12.67;10
12.72;10
12.77;10
12.83;10
12.88;10
12.93;10
12.98;10
13.04;10
13.09;10
13.58;10
13.63;10
13.68;10
13.73;10
13.78;10
13.84;10
13.89;10
13.94;10
13.99;10
14.04;10
14.23;10
14.28;10
14.33;10
14.38;10
14.43;10
14.48;10
14.53;10
14.58;10
14.62;10
14.67;10
14.45;10
14.5;10
14.55;10
14.6;10
14.65;10
14.69;10
14.74;10
14.79;10
14.84;10
14.89;10
14.56;10
14.61;10
14.66;10
14.71;10
14.75;10
14.8;10
14.85;10
14.89;10
14.94;10
14.98;10
15.47;10
15.52;10
15.56;10
15.61;10
15.65;10
15.7;10
15.74;10
15.79;10
15.83;10
15.88;10
16.26;10
16.31;10
16.35;10
16.4;10
16.44;10
16.49;10
16.53;10
16.57;10
16.62;10
16.66;10
16.22;10
16.26;10
16.3;10
16.35;10
16.47;10
16.52;10
16.52;10
16.52;10
16.56;10
16.6;10
16.59;10
16.64;10
16.68;10
16.72;10
16.76;10
16.8;10
16.85;10
16.89;10
16.93;10
16.97;10
17.19;10
17.23;10
17.27;10
17.31;10
17.35;10
17.4;10
17.44;10
17.48;10
17.52;10
17.56;10
17.11;10
17.15;10
17.19;10
17.23;10
17.27;10
17.3;10
17.34;10
17.38;10
17.42;10
17.46;10
18.3;10
18.34;10
18.38;10
18.42;10
18.45;10
18.49;10
18.53;10
18.57;10
18.61;10
18.64;10
18.72;10
18.76;10
18.8;10
18.84;10
18.87;10
18.91;10
18.95;10
19.06;10
19.06;10
18.69;10
18.69;10
18.73;10
18.77;10
18.8;10
18.84;10
18.88;10
18.91;10
18.95;10
18.98;10
19.02;10
19.19;10
19.22;10
19.26;10
19.36;10
19.4;10
19.4;10
19.4;10
19.43;10
19.47;10
19.5;10
19.62;10
19.65;10
19.69;10
19.72;10
19.75;10
19.79;10
19.82;10
19.86;10
19.89;10
19.92;10
19.71;10
19.74;10
19.77;10
19.81;10
19.84;10
19.87;10
19.91;10
19.94;10
19.97;10
20.01;10
19.93;10
19.96;10
19.99;10
20.03;10
20.06;10
20.09;10
20.12;10
20.16;10
20.19;10
20.22;10
20.42;10
20.45;10
20.49;10
20.52;10
20.55;10
20.58;10
20.61;10
20.64;10
20.67;10
20.7;10
20.88;10
20.92;10
20.95;10
20.98;10
21.01;10
21.04;10
21.07;10
21.1;10
21.13;10
21.16;10
21.48;10
21.51;10
21.54;10
21.57;10
21.6;10
21.63;10
21.66;10
21.69;10
21.72;10
21.75;10
20.88;10
20.91;10
20.94;10
20.97;10
21;10
21.03;10
21.06;10
21.09;10
21.12;10
21.14;10
21.65;10
21.68;10
21.71;10
21.74;10
21.77;10
21.79;10
21.82;10
21.85;10
21.88;10
21.9;10
21.67;10
21.7;10
21.73;10
21.75;10
21.78;10
21.81;10
21.84;10
21.86;10
21.89;10
21.92;10
22.4;10
22.43;10
22.46;10
22.48;10
22.51;10
22.54;10
22.56;10
22.59;10
22.61;10
22.64;10
22.13;10
22.15;10
22.18;10
22.2;10
22.23;10
22.26;10
22.28;10
22.31;10
22.33;10
22.36;10
23.04;10
23.07;10
23.09;10
23.12;10
23.14;10
23.17;10
23.19;10
23.22;10
23.24;10
23.27;10
22.52;10
22.55;10
22.57;10
22.6;10
22.62;10
22.64;10
22.67;10
22.69;10
22.72;10
22.74;10
23.5;10
23.53;10
23.55;10
23.58;10
23.6;10
23.62;10
23.65;10
23.67;10
23.69;10
23.72;10
23.84;10
23.86;10
23.89;10
23.91;10
23.93;10
23.96;10
23.98;10
24;10
24.02;10
24.05;10
24.01;10
24.03;10
24.05;10
24.08;10
24.1;10
24.12;10
24.14;10
24.17;10
24.19;10
24.21;10
23.64;10
23.66;10
23.68;10
23.71;10
23.73;10
23.75;10
23.77;10
23.79;10
23.81;10
23.84;10
23.71;10
23.73;10
23.75;10
23.77;10
23.79;10
23.81;10
23.83;10
23.85;10
23.88;10
23.9;10
23.97;10
23.99;10
24.01;10
24.03;10
24.05;10
24.07;10
24.09;10
24.11;10
24.13;10
24.15;10
24.92;10
24.94;10
24.96;10
24.98;10
25;10
25.02;10
25.04;10
25.06;10
25.08;10
25.1;10
24.63;10
24.65;10
24.67;10
24.69;10
24.71;10
24.73;10
24.75;10
24.76;10
24.78;10
24.8;10
24.72;10
24.74;10
24.76;10
24.78;10
24.8;10
24.82;10
24.83;10
24.85;10
24.84;10
24.86;10
24.86;10
24.86;10
24.88;10
24.89;10
24.91;10
24.93;10
24.95;10
24.97;10
24.99;10
25;10
25.26;10
25.28;10
25.3;10
25.31;10
25.33;10
25.35;10
25.37;10
25.39;10
25.4;10
25.42;10
25.65;10
25.67;10
25.68;10
25.7;10
25.72;10
25.73;10
25.75;10
25.77;10
25.79;10
25.8;10
25.41;10
25.43;10
25.44;10
25.46;10
25.48;10
25.49;10
25.51;10
25.53;10
25.54;10
25.56;10
26.11;10
26.12;10
26.14;10
26.16;10
26.17;10
26.19;10
26.2;10
26.22;10
